dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.901931,2.000000,2.901961,0.622128,-1.976744,0.000000,0.000000
0.020000,23.913978,2.000000,2.914008,0.582593,-1.976744,-0.000000,0.000000
0.020000,23.925234,2.000000,2.925264,0.543058,-1.976744,0.000000,0.000000
0.020000,23.935700,2.000000,2.935730,0.503523,-1.976744,0.000000,0.000000
0.020000,23.945375,2.000000,2.945405,0.463988,-1.976744,-0.000000,0.000000
0.020000,23.954260,2.000000,2.954290,0.424453,-1.976744,-0.000000,0.000000
0.020000,23.962353,2.000000,2.962383,0.384919,-1.976744,0.000000,0.000000
0.020000,23.969657,2.000000,2.969687,0.345384,-1.976744,0.000000,0.000000
0.020000,23.976169,2.000000,2.976199,0.305849,-1.976744,-0.000000,0.000000
0.020000,23.981890,2.000000,2.981920,0.266314,-1.976744,0.000000,0.000000
0.020000,23.986821,2.000000,2.986851,0.226779,-1.976744,-0.000000,0.000000
0.020000,23.990962,2.000000,2.990992,0.187244,-1.976744,0.000000,0.000000
0.020000,23.994311,2.000000,2.994341,0.147709,-1.976744,-0.000000,0.000000
0.020000,23.996870,2.000000,2.996900,0.108174,-1.976744,-0.000000,0.000000
0.020000,23.998638,2.000000,2.998668,0.068640,-1.976744,0.000000,0.000000
0.020000,23.999616,2.000000,2.999646,0.029105,-1.976744,0.000000,0.000000
0.020000,23.999953,2.000000,2.999983,0.004669,-1.221802,37.747093,0.000000
0.020000,24.000000,2.000000,3.000030,0.000000,-0.233430,49.418605,0.000000
0.020000,24.000000,2.000000,3.000030,0.000000,0.000000,11.671512,0.000000
